group,pair,coint_stat,coint_p
G1,feature_1|feature_2,-7.178859488521792,3.199601254870076e-09
G2,feature_1|feature_2,-5.281441404300613,4.840615116309167e-05
G3,feature_1|feature_2,-6.447444143840402,1.65745811485961e-07
G4,feature_1|feature_2,-7.021196245535248,7.640043971632015e-09
G5,feature_1|feature_2,-7.280617942444729,1.8155122201434193e-09
G1,feature_1|feature_3,-7.023221143713035,7.555579730308647e-09
G2,feature_1|feature_3,-1.8245248804266445,0.617734772829613
G3,feature_1|feature_3,-6.328925992630161,3.067110623048962e-07
G4,feature_1|feature_3,-6.90163675888727,1.4685067413355778e-08
G5,feature_1|feature_3,-6.489876845419705,1.3272738609269078e-07
