group,feature,acf_lag1,acf_lag5,acf_lag10,ljungbox_p,hurst_exp
G1,feature_1,0.0827058443678818,0.10753085383214332,0.06449094522019239,0.7478985412029264,0.6075255024115418
G2,feature_1,0.32519149620012194,0.17691412358122788,0.03445408071983514,0.0012151358862182607,0.6372509917878793
G3,feature_1,0.23912993631718055,0.1247813472980457,0.1686608490918036,0.2909740521565018,0.6215658745711093
G4,feature_1,0.11395531790648074,0.17123284892472695,0.12464325405287699,0.19663236033212458,0.6574778167932683
G5,feature_1,0.21359236603280418,-0.1801644110929882,-0.056360303418820215,0.503953750153789,0.510511421725743
G1,feature_2,0.8309360097700186,-0.8133678326894925,0.4624874297563404,9.628786265469781e-42,0.44411285336448925
G2,feature_2,0.8422816473257214,-0.8230251976330929,0.43711766465815455,1.639714797873208e-44,0.4605117630987296
G3,feature_2,0.833322963032671,-0.8207858598473884,0.43941473239099677,4.4486295422154596e-41,0.4565137006378511
G4,feature_2,0.8167278134454563,-0.826301078287361,0.44350711642983187,3.5484201862074016e-41,0.45729060721163606
G5,feature_2,0.8080972761863274,-0.776651462288336,0.4618918752068178,6.791215929604138e-38,0.5089546139123857
G1,feature_3,0.641758008457949,-0.12041538055290933,0.06455570851378627,0.00019760415823602773,0.6879156763154494
G2,feature_3,0.6122865717503007,0.010683305579180595,-0.11133662766881057,0.0012039991062703934,0.6630282406566895
G3,feature_3,0.7765033117789986,0.4024030822752117,-0.1923455659739934,7.63818458559202e-17,0.6819137159142278
G4,feature_3,0.6718902410328409,0.15140106899967967,-0.12587750838851788,1.1611450133326899e-06,0.7095075809933327
G5,feature_3,0.697500953965689,0.028603355571490394,0.23052840570935387,6.461967111339553e-06,0.6823606486225937
